"MenuItemId","Label","PageName","Slug","Url","CurrentPath","ProposedPath","Moved"
"51","Are Latter-day Saints Christian?","LDSChristians","ldschristians","https://www.ldsapologetics.com/ldschristians/","Against Protestantism > Are Latter-day Saints Christian?","Against Protestantism > Doctrine Answered > Are Latter-day Saints Christian?","True"
"137","Gods in Regression — Does God Have a God?","Gods-In-Regression","gods-in-regression","https://www.ldsapologetics.com/gods-in-regression/","Against Protestantism > Gods in Regression — Does God Have a God?","Against Protestantism > Doctrine Answered > Gods in Regression — Does God Have a God?","True"
"135","Is the LDS Jesus the Jesus of the Bible?","LDS-Jesus-Biblical","lds-jesus-biblical","https://www.ldsapologetics.com/lds-jesus-biblical/","Against Protestantism > Is the LDS Jesus the Jesus of the Bible?","Against Protestantism > Doctrine Answered > Is the LDS Jesus the Jesus of the Bible?","True"
"155","Original Sin Refuted","Original-Sin-Refuted","original-sin-refuted","https://www.ldsapologetics.com/original-sin-refuted/","Against Protestantism > Original Sin Refuted","Against Protestantism > Doctrine Answered > Original Sin Refuted","True"
"83","Repentance Means Actual Change","Repentance-Real","repentance-real","https://www.ldsapologetics.com/repentance-real/","Against Protestantism > Repentance Means Actual Change","Against Protestantism > Doctrine Answered > Repentance Means Actual Change","True"
"75","Salvation Is a Process, Not an Event","Salvation-Process","salvation-process","https://www.ldsapologetics.com/salvation-process/","Against Protestantism > Salvation Is a Process, Not an Event","Against Protestantism > Doctrine Answered > Salvation Is a Process, Not an Event","True"
"149","Tithing — Answering the Objections","Tithing-Answered","tithing-answered","https://www.ldsapologetics.com/tithing-answered/","Against Protestantism > Tithing — Answering the Objections","Against Protestantism > Doctrine Answered > Tithing — Answering the Objections","True"
"91","TULIP Calvinism Refuted Systematically","TULIP-Refuted","tulip-refuted","https://www.ldsapologetics.com/tulip-refuted/","Against Protestantism > TULIP Calvinism Refuted Systematically","Against Protestantism > Doctrine Answered > TULIP Calvinism Refuted Systematically","True"
"143","Why Does the Temple Still Have a Veil?","Temple-Veil","temple-veil","https://www.ldsapologetics.com/temple-veil/","Against Protestantism > Why Does the Temple Still Have a Veil?","Against Protestantism > Doctrine Answered > Why Does the Temple Still Have a Veil?","True"
"60","Biblical Communalism — Why Protestants Don't Follow the Bible","Biblical-Communalism","biblical-communalism","https://www.ldsapologetics.com/biblical-communalism/","Against Protestantism > Biblical Communalism — Why Protestants Don't Follow the Bible","Against Protestantism > Practice and Ethics > Biblical Communalism — Why Protestants Don't Follow the Bible","True"
